name
AK Press
Allen Lane
Arcturus Publishing Limited
Back Bay Books
Badlands Unlimited
Bantam
Bantam Dell Publishing Group
Beacon Press
Chatto & Windus
Collins
Common Courage Press
Doubleday
Dutton Books
Gallery Books
Gallup Press
Harper Business
HarperCollins
Harvard University Press
Haymarket Books
Headline Publishing Group
Jacobin
Knopf Canada
Large Sons Productions LLC
Llewellyn Publications
Metro Books
Metropolitan Books
Milkweed Editions
Nation Books
New American Library
OR Books
Oxford University Press
Penguin
Penguin Random House
Peter Smith Pub Inc
PublicAffairs
Quercus Publishing
Random House
Schocken Books
Smith and Kraus
Sourcebooks
The MIT Press
The New Press
The Teaching Company
Times Books
University of Minnesota Press
Vanguard Press
Verso Books
Vintage
W. W. Norton & Company
Weidenfeld & Nicolson
William Collins
Workman Publishing Company
Yale University Press
