Title,Author,Original Publication Year,Publisher,Read?
"The Devil's Chessboard: Allen Dulles, the CIA, and the Rise of America's Secret Government",David Talbot,2016,William Collins,FALSE
The Conquest of Bread,Peter Kropotkin,1892,AK Press,FALSE
Now and After: The ABC of Communist Anarchism,Alexander Berkman,1929,Vanguard Press,FALSE
Ancestors: A Grievers Novel,adrienne maree brown,2025,AK Press,FALSE
Red Flag Warning: Mutual Aid and Survival in California’s Fire Country,"Dani Burlison, Margaret Elysia Garcia",2025,AK Press,FALSE
Toward An Ecological Society,Murray Bookchin,1980,AK Press,TRUE
James Acaster's Guide to Quitting Social Media,James Acaster,2022,Headline Publishing Group,FALSE
Perfect Sound Whatever,James Acaster,2019,Headline Publishing Group,FALSE
James Acaster's Classic Scrapes,James Acaster,2017,Headline Publishing Group,FALSE
All-American Nativism: How the Bipartisan War on Immigrants Explains Politics as We Know It,Daniel Denvir,2020,Verso Books,FALSE
Killing Hope,William Blum,1995,Common Courage Press,FALSE
"Imaginary Power, Real Horizons: The Practicality of Utopianism",Richard Gilman-Opalsky,2024,AK Press,FALSE
Legacy of Ashes: The History of the CIA,Tim Weiner,2007,Doubleday,FALSE
Loving Corrections,adrienne maree brown,2024,AK Press,FALSE
"The Sexist Microphysics of Power
The Alcàsser Case and the Construction of Sexual Terror",Nerea Barjola,2024,AK Press,FALSE
"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",Robin Wall Kimmerer,2013,Milkweed Editions,FALSE
On Palestine,"Noam Chomsky,
Ilan Pappé",2015,Penguin,TRUE
"The Jewish Anarchist Movement in America
A Historical Review and Personal Reminiscences",Joseph Cohen,2024,AK Press,FALSE
An Indigenous Peoples' History of the United States,Roxanne Dunbar-Ortiz,2014,Beacon Press,TRUE
"Policing the Planet:
Why the Policing Crisis Led to Black Lives Matter","Mizue Aizeki, Kafui Attoh, Breanna Champion, Becky Dennison, Martín Espada, Ruth Wilson Gilmore, Craig Gilmore, Christina B. Hanhardt, Justin Hansford, Rachel Herzing, Brian Jordan Jefferson, Anjali Kamat, Robin D.G. Kelley, Hamid Khan, Arun Kundnani, Marisol Lebrón, George Lipsitz, Page May, Don Mitchell, Naomi Murakawa, Steven Osuna, Vijay Prashad, Asha Rosa Ransby-Sporn, Alex Sanchez, Lynn A. Staeheli, Alex S. Vitale, Pete White, Jordan T. Camp, Christina Heatherton",2016,Verso Books,FALSE
A Continuous Struggle: The Revolutionary Life of Martin Sostre,Garrett Felber,2025,AK Press,FALSE
"The Washington Connection and Third World Fascism:
The Political Economy of Human Rights: Volume I","Noam Chomsky, Edward S. Herman",2014,Haymarket Books,FALSE
